row_id,foa_id,title,agency,category,concept_id,concept_label,concept_description,text_snippet,relevant_yes_no
11,70d014b3-f780-4a03-949f-b8c3720ab91b,U.S. National Science Foundation Research Traineeship (NRT) Program,NSF,method,method_07,Qualitative Research,"Research using non-numerical evidence: in-depth interviews, focus groups, participant observation, textual and document analysis, case studies, and interpretive or grounded-theory approaches that seek meaning and context rather than measurement.","The program is dedicated to effective training of STEM graduate students in high priority interdisciplinary or convergent research areas, through a comprehensive traineeship model that is innovative, evidence-based, and aligned with changing workforce and research needs. Proposals are requested that address any interdisciplinary or convergent research theme of national priority, as described in section II.D below. The NRT program addresses workforce development, emphasizing broad participation, and institutional capacity building needs in graduate education.",no
12,70d014b3-f780-4a03-949f-b8c3720ab91b,U.S. National Science Foundation Research Traineeship (NRT) Program,NSF,method,method_09,Community-Based Participatory Research,"Research conducted in equitable partnership with community members and organisations, who share in design, data collection, interpretation, and dissemination. Distinguished by community co-ownership of the research process, not merely recruiting community participants or conducting outreach.","NRT especially welcomes proposals that reflect collaborations between NRT proposals and existing NSF Eddie Bernice Johnson Inclusion across the Nation of Communities of Learners of Underrepresented Discoverers in Engineering and Science (INCLUDES) Initiative , Research Experiences for Undergraduates (REU) , Louis Stokes Alliances for Minority Participation (LSAMP) , NSF Scholarships in Science, Technology, Engineering, and Mathematics (S-STEM) , and NSF STEM Ed Organizational Postdoctoral Fellowship program (STEM Ed OPRF) projects, provided the collaboration will strengthen both projects. Researchers at minority serving institutions and emerging research institutions are strongly encouraged to submit proposals. Collaborations between NRT proposals and existing NSF INCLUDES projects should strengthen both NRT and INCLUDES projects. *",no
13,70d014b3-f780-4a03-949f-b8c3720ab91b,U.S. National Science Foundation Research Traineeship (NRT) Program,NSF,method,method_14,Field Experiment,"Research conducting experiments or systematic data collection in real-world settings rather than laboratories: field trials, field campaigns, fieldwork, site-based observation, and in-situ measurement in the natural or social setting under study.","U.S. National Science Foundation Research Traineeship (NRT) Program The NSF Research Traineeship (NRT) program seeks proposals that explore ways for graduate students in research-based masterâs and doctoral degree programs to develop the skills, knowledge, and competencies needed to pursue a range of STEM careers. The program is dedicated to effective training of STEM graduate students in high priority interdisciplinary or convergent research areas, through a comprehensive traineeship model that is innovative, evidence-based, and aligned with changing workforce and research needs.",no
14,70d014b3-f780-4a03-949f-b8c3720ab91b,U.S. National Science Foundation Research Traineeship (NRT) Program,NSF,method,method_24,Systems Thinking,"Research treating the object of study as an interacting whole: systems approaches, complexity science, feedback loops, emergent behaviour, and analysis of interdependencies among components over time.","The program is dedicated to effective training of STEM graduate students in high priority interdisciplinary or convergent research areas, through a comprehensive traineeship model that is innovative, evidence-based, and aligned with changing workforce and research needs. Proposals are requested that address any interdisciplinary or convergent research theme of national priority, as described in section II.D below. The NRT program addresses workforce development, emphasizing broad participation, and institutional capacity building needs in graduate education.",no
15,70d014b3-f780-4a03-949f-b8c3720ab91b,U.S. National Science Foundation Research Traineeship (NRT) Program,NSF,population,pop_01,Rural Communities,"Research that studies, serves, or is designed to benefit people living in rural, remote, non-metropolitan, or frontier areas. Covers rural health disparities, rural economic development, agricultural communities, small towns, and geographic isolation. Applies when rural populations are the subject or intended beneficiary of the research, not when a rural institution is merely eligible to apply.","Proposals are requested that address any interdisciplinary or convergent research theme of national priority, as described in section II.D below. The NRT program addresses workforce development, emphasizing broad participation, and institutional capacity building needs in graduate education. The program encourages proposals that involve strategic collaborations with the private sector, non-governmental organizations (NGOs), government agencies, national laboratories, field stations, teaching and learning centers, informal science centers, and academic partners.",no
16,70d014b3-f780-4a03-949f-b8c3720ab91b,U.S. National Science Foundation Research Traineeship (NRT) Program,NSF,population,pop_03,Low-Income Populations,"Research that studies, serves, or is designed to benefit economically disadvantaged people: households below the poverty line, low-income families, people experiencing financial hardship, welfare and safety-net recipients, and underserved communities defined by economic status. Covers poverty, income inequality, economic mobility, and material deprivation as they affect people.","NRT especially welcomes proposals that reflect collaborations between NRT proposals and existing NSF Eddie Bernice Johnson Inclusion across the Nation of Communities of Learners of Underrepresented Discoverers in Engineering and Science (INCLUDES) Initiative , Research Experiences for Undergraduates (REU) , Louis Stokes Alliances for Minority Participation (LSAMP) , NSF Scholarships in Science, Technology, Engineering, and Mathematics (S-STEM) , and NSF STEM Ed Organizational Postdoctoral Fellowship program (STEM Ed OPRF) projects, provided the collaboration will strengthen both projects. Researchers at minority serving institutions and emerging research institutions are strongly encouraged to submit proposals. Collaborations between NRT proposals and existing NSF INCLUDES projects should strengthen both NRT and INCLUDES projects. *",no
17,70d014b3-f780-4a03-949f-b8c3720ab91b,U.S. National Science Foundation Research Traineeship (NRT) Program,NSF,population,pop_04,Children and Youth,"Research that studies, serves, or is designed to benefit infants, children, adolescents, teenagers, and young people. Covers child development, paediatric health, early childhood, adolescent behaviour, foster care, at-risk youth, and juvenile populations. Distinct from Students, which concerns people by enrolment rather than by age.","The program is dedicated to effective training of STEM graduate students in high priority interdisciplinary or convergent research areas, through a comprehensive traineeship model that is innovative, evidence-based, and aligned with changing workforce and research needs. Proposals are requested that address any interdisciplinary or convergent research theme of national priority, as described in section II.D below. The NRT program addresses workforce development, emphasizing broad participation, and institutional capacity building needs in graduate education.",no
18,70d014b3-f780-4a03-949f-b8c3720ab91b,U.S. National Science Foundation Research Traineeship (NRT) Program,NSF,population,pop_06,Veterans,"Research that studies, serves, or is designed to benefit military veterans, former service members, and their families and caregivers. Covers veteran health, post-deployment readjustment, PTSD and service-connected conditions, veteran employment, and transition to civilian life.","U.S. National Science Foundation Research Traineeship (NRT) Program The NSF Research Traineeship (NRT) program seeks proposals that explore ways for graduate students in research-based masterâs and doctoral degree programs to develop the skills, knowledge, and competencies needed to pursue a range of STEM careers. The program is dedicated to effective training of STEM graduate students in high priority interdisciplinary or convergent research areas, through a comprehensive traineeship model that is innovative, evidence-based, and aligned with changing workforce and research needs.",no
19,70d014b3-f780-4a03-949f-b8c3720ab91b,U.S. National Science Foundation Research Traineeship (NRT) Program,NSF,population,pop_07,Indigenous Peoples,"Research that studies, serves, or is designed to benefit Native American, American Indian, Alaska Native, Native Hawaiian, First Nations, and other Indigenous peoples. Covers Indigenous health, language revitalisation, traditional ecological knowledge, and self-determination. Overlaps with Tribal Communities, which refers specifically to federally recognised tribal nations as governing entities.","The program is dedicated to effective training of STEM graduate students in high priority interdisciplinary or convergent research areas, through a comprehensive traineeship model that is innovative, evidence-based, and aligned with changing workforce and research needs. Proposals are requested that address any interdisciplinary or convergent research theme of national priority, as described in section II.D below. The NRT program addresses workforce development, emphasizing broad participation, and institutional capacity building needs in graduate education.",no
20,70d014b3-f780-4a03-949f-b8c3720ab91b,U.S. National Science Foundation Research Traineeship (NRT) Program,NSF,population,pop_08,Racial and Ethnic Minorities,"Research that studies, serves, or is designed to benefit racially and ethnically minoritised groups, including African American and Black, Hispanic and Latino, Asian American, and Pacific Islander populations. Covers racial health disparities, discrimination, structural racism, minority-serving contexts, and underrepresentation by race or ethnicity.","NRT especially welcomes proposals that reflect collaborations between NRT proposals and existing NSF Eddie Bernice Johnson Inclusion across the Nation of Communities of Learners of Underrepresented Discoverers in Engineering and Science (INCLUDES) Initiative , Research Experiences for Undergraduates (REU) , Louis Stokes Alliances for Minority Participation (LSAMP) , NSF Scholarships in Science, Technology, Engineering, and Mathematics (S-STEM) , and NSF STEM Ed Organizational Postdoctoral Fellowship program (STEM Ed OPRF) projects, provided the collaboration will strengthen both projects. Researchers at minority serving institutions and emerging research institutions are strongly encouraged to submit proposals. Collaborations between NRT proposals and existing NSF INCLUDES projects should strengthen both NRT and INCLUDES projects. *",no
21,70d014b3-f780-4a03-949f-b8c3720ab91b,U.S. National Science Foundation Research Traineeship (NRT) Program,NSF,population,pop_09,Women and Girls,"Research that studies, serves, or is designed to benefit women and girls, including maternal and reproductive health, gender-based violence, women's participation and advancement, sex differences in disease, and gender equity in the workforce.","The program is dedicated to effective training of STEM graduate students in high priority interdisciplinary or convergent research areas, through a comprehensive traineeship model that is innovative, evidence-based, and aligned with changing workforce and research needs. Proposals are requested that address any interdisciplinary or convergent research theme of national priority, as described in section II.D below. The NRT program addresses workforce development, emphasizing broad participation, and institutional capacity building needs in graduate education.",no
22,70d014b3-f780-4a03-949f-b8c3720ab91b,U.S. National Science Foundation Research Traineeship (NRT) Program,NSF,population,pop_11,Immigrants and Refugees,"Research that studies, serves, or is designed to benefit foreign-born populations: immigrants, migrants, refugees, asylum seekers, displaced people, and undocumented residents. Covers migration, resettlement, acculturation, immigrant health, and language access.","The program is dedicated to effective training of STEM graduate students in high priority interdisciplinary or convergent research areas, through a comprehensive traineeship model that is innovative, evidence-based, and aligned with changing workforce and research needs. Proposals are requested that address any interdisciplinary or convergent research theme of national priority, as described in section II.D below. The NRT program addresses workforce development, emphasizing broad participation, and institutional capacity building needs in graduate education.",no
23,70d014b3-f780-4a03-949f-b8c3720ab91b,U.S. National Science Foundation Research Traineeship (NRT) Program,NSF,population,pop_12,Students,"Research that studies, serves, or is designed to benefit learners enrolled in education, from K-12 pupils through undergraduate, graduate, and postdoctoral trainees. Covers student learning, achievement, retention, persistence, and educational outcomes. Applies when students are the population under study, not when an institution enrolling students is merely eligible to receive the award.","U.S. National Science Foundation Research Traineeship (NRT) Program The NSF Research Traineeship (NRT) program seeks proposals that explore ways for graduate students in research-based masterâs and doctoral degree programs to develop the skills, knowledge, and competencies needed to pursue a range of STEM careers. The program is dedicated to effective training of STEM graduate students in high priority interdisciplinary or convergent research areas, through a comprehensive traineeship model that is innovative, evidence-based, and aligned with changing workforce and research needs. Proposals are requested that address any interdisciplinary or convergent research theme of national priority, as described in section II.D below.",yes
24,70d014b3-f780-4a03-949f-b8c3720ab91b,U.S. National Science Foundation Research Traineeship (NRT) Program,NSF,population,pop_14,Incarcerated Populations,"Research that studies, serves, or is designed to benefit people in prisons and jails, detained and justice-involved individuals, formerly incarcerated people, and those in reentry or on probation and parole. Covers correctional health, recidivism, and reintegration.","Proposals are requested that address any interdisciplinary or convergent research theme of national priority, as described in section II.D below. The NRT program addresses workforce development, emphasizing broad participation, and institutional capacity building needs in graduate education. The program encourages proposals that involve strategic collaborations with the private sector, non-governmental organizations (NGOs), government agencies, national laboratories, field stations, teaching and learning centers, informal science centers, and academic partners.",no
25,70d014b3-f780-4a03-949f-b8c3720ab91b,U.S. National Science Foundation Research Traineeship (NRT) Program,NSF,population,pop_16,Agricultural Workers,"Research that studies, serves, or is designed to benefit farmworkers, farm labourers, migrant and seasonal agricultural workers, ranchers, and people employed in food production. Covers occupational exposure, pesticide safety, farm injury, and agricultural labour conditions.","U.S. National Science Foundation Research Traineeship (NRT) Program The NSF Research Traineeship (NRT) program seeks proposals that explore ways for graduate students in research-based masterâs and doctoral degree programs to develop the skills, knowledge, and competencies needed to pursue a range of STEM careers. The program is dedicated to effective training of STEM graduate students in high priority interdisciplinary or convergent research areas, through a comprehensive traineeship model that is innovative, evidence-based, and aligned with changing workforce and research needs. Proposals are requested that address any interdisciplinary or convergent research theme of national priority, as described in section II.D below.",no
26,70d014b3-f780-4a03-949f-b8c3720ab91b,U.S. National Science Foundation Research Traineeship (NRT) Program,NSF,population,pop_17,Healthcare Workers,"Research that studies, serves, or is designed to benefit clinicians and health personnel: physicians, nurses, allied health professionals, community health workers, caregivers, and health support staff. Covers workforce burnout, clinician wellbeing, occupational exposure, training, and health workforce capacity.","Proposals are requested that address any interdisciplinary or convergent research theme of national priority, as described in section II.D below. The NRT program addresses workforce development, emphasizing broad participation, and institutional capacity building needs in graduate education. The program encourages proposals that involve strategic collaborations with the private sector, non-governmental organizations (NGOs), government agencies, national laboratories, field stations, teaching and learning centers, informal science centers, and academic partners.",no
27,70d014b3-f780-4a03-949f-b8c3720ab91b,U.S. National Science Foundation Research Traineeship (NRT) Program,NSF,population,pop_18,First Responders,"Research that studies, serves, or is designed to benefit emergency personnel: firefighters, police officers, emergency medical technicians and paramedics, search-and-rescue teams, and disaster response workers. Covers occupational hazard, trauma exposure, and responder health and safety.","The program is dedicated to effective training of STEM graduate students in high priority interdisciplinary or convergent research areas, through a comprehensive traineeship model that is innovative, evidence-based, and aligned with changing workforce and research needs. Proposals are requested that address any interdisciplinary or convergent research theme of national priority, as described in section II.D below. The NRT program addresses workforce development, emphasizing broad participation, and institutional capacity building needs in graduate education.",no
28,70d014b3-f780-4a03-949f-b8c3720ab91b,U.S. National Science Foundation Research Traineeship (NRT) Program,NSF,population,pop_20,Tribal Communities,"Research that studies, serves, or is designed to benefit federally recognised tribal nations, tribal governments, reservations, and their member communities as sovereign entities. Covers tribal self-governance, tribal colleges, and government-to-government partnership. Distinct from Indigenous Peoples, which refers to Indigenous individuals and cultures more broadly.","Proposals are requested that address any interdisciplinary or convergent research theme of national priority, as described in section II.D below. The NRT program addresses workforce development, emphasizing broad participation, and institutional capacity building needs in graduate education. The program encourages proposals that involve strategic collaborations with the private sector, non-governmental organizations (NGOs), government agencies, national laboratories, field stations, teaching and learning centers, informal science centers, and academic partners.",no
29,ef969b44-f247-4613-831f-ef83e4e8dc1a,"Certified Community Behavioral Health Clinics (CCBHCs) Planning, Development, and Implementation Grant",HHS-SAMHS-SAMHSA,method,method_09,Community-Based Participatory Research,"Research conducted in equitable partnership with community members and organisations, who share in design, data collection, interpretation, and dissemination. Distinguished by community co-ownership of the research process, not merely recruiting community participants or conducting outreach.","Certified Community Behavioral Health Clinics (CCBHCs) Planning, Development, and Implementation Grant The purpose of this program is to develop and establish new Community Behavioral Health Clinics to address gaps in behavioral health services and improve the wellbeing of persons with mental health and substance use disorders. Eligibility is statutorily limited to community-based behavioral health non-profit organizations; organizations that are either (a) part of a local government behavioral health authority; or (b) operated under the authority of the Indian Health Service, an Indian tribe, or tribal organization; or (c) an Urban Indian Organization pursuant to a grant or contract with the Indian Health Service under Title V of the Indian Health Care Improvement Act (25 U.S.C. 1601 et seq.).",no
30,ef969b44-f247-4613-831f-ef83e4e8dc1a,"Certified Community Behavioral Health Clinics (CCBHCs) Planning, Development, and Implementation Grant",HHS-SAMHS-SAMHSA,population,pop_01,Rural Communities,"Research that studies, serves, or is designed to benefit people living in rural, remote, non-metropolitan, or frontier areas. Covers rural health disparities, rural economic development, agricultural communities, small towns, and geographic isolation. Applies when rural populations are the subject or intended beneficiary of the research, not when a rural institution is merely eligible to apply.","Certified Community Behavioral Health Clinics (CCBHCs) Planning, Development, and Implementation Grant The purpose of this program is to develop and establish new Community Behavioral Health Clinics to address gaps in behavioral health services and improve the wellbeing of persons with mental health and substance use disorders. Eligibility is statutorily limited to community-based behavioral health non-profit organizations; organizations that are either (a) part of a local government behavioral health authority; or (b) operated under the authority of the Indian Health Service, an Indian tribe, or tribal organization; or (c) an Urban Indian Organization pursuant to a grant or contract with the Indian Health Service under Title V of the Indian Health Care Improvement Act (25 U.S.C. 1601 et seq.).",no
31,ef969b44-f247-4613-831f-ef83e4e8dc1a,"Certified Community Behavioral Health Clinics (CCBHCs) Planning, Development, and Implementation Grant",HHS-SAMHS-SAMHSA,population,pop_08,Racial and Ethnic Minorities,"Research that studies, serves, or is designed to benefit racially and ethnically minoritised groups, including African American and Black, Hispanic and Latino, Asian American, and Pacific Islander populations. Covers racial health disparities, discrimination, structural racism, minority-serving contexts, and underrepresentation by race or ethnicity.","Certified Community Behavioral Health Clinics (CCBHCs) Planning, Development, and Implementation Grant The purpose of this program is to develop and establish new Community Behavioral Health Clinics to address gaps in behavioral health services and improve the wellbeing of persons with mental health and substance use disorders. Eligibility is statutorily limited to community-based behavioral health non-profit organizations; organizations that are either (a) part of a local government behavioral health authority; or (b) operated under the authority of the Indian Health Service, an Indian tribe, or tribal organization; or (c) an Urban Indian Organization pursuant to a grant or contract with the Indian Health Service under Title V of the Indian Health Care Improvement Act (25 U.S.C. 1601 et seq.). Office of Financial Resources Division of Grants Management 240-276-1940",no
32,ef969b44-f247-4613-831f-ef83e4e8dc1a,"Certified Community Behavioral Health Clinics (CCBHCs) Planning, Development, and Implementation Grant",HHS-SAMHS-SAMHSA,population,pop_14,Incarcerated Populations,"Research that studies, serves, or is designed to benefit people in prisons and jails, detained and justice-involved individuals, formerly incarcerated people, and those in reentry or on probation and parole. Covers correctional health, recidivism, and reintegration.","Certified Community Behavioral Health Clinics (CCBHCs) Planning, Development, and Implementation Grant The purpose of this program is to develop and establish new Community Behavioral Health Clinics to address gaps in behavioral health services and improve the wellbeing of persons with mental health and substance use disorders. Eligibility is statutorily limited to community-based behavioral health non-profit organizations; organizations that are either (a) part of a local government behavioral health authority; or (b) operated under the authority of the Indian Health Service, an Indian tribe, or tribal organization; or (c) an Urban Indian Organization pursuant to a grant or contract with the Indian Health Service under Title V of the Indian Health Care Improvement Act (25 U.S.C. 1601 et seq.).",no
33,ef969b44-f247-4613-831f-ef83e4e8dc1a,"Certified Community Behavioral Health Clinics (CCBHCs) Planning, Development, and Implementation Grant",HHS-SAMHS-SAMHSA,population,pop_20,Tribal Communities,"Research that studies, serves, or is designed to benefit federally recognised tribal nations, tribal governments, reservations, and their member communities as sovereign entities. Covers tribal self-governance, tribal colleges, and government-to-government partnership. Distinct from Indigenous Peoples, which refers to Indigenous individuals and cultures more broadly.","Certified Community Behavioral Health Clinics (CCBHCs) Planning, Development, and Implementation Grant The purpose of this program is to develop and establish new Community Behavioral Health Clinics to address gaps in behavioral health services and improve the wellbeing of persons with mental health and substance use disorders. Eligibility is statutorily limited to community-based behavioral health non-profit organizations; organizations that are either (a) part of a local government behavioral health authority; or (b) operated under the authority of the Indian Health Service, an Indian tribe, or tribal organization; or (c) an Urban Indian Organization pursuant to a grant or contract with the Indian Health Service under Title V of the Indian Health Care Improvement Act (25 U.S.C. 1601 et seq.). Office of Financial Resources Division of Grants Management 240-276-1940",no
34,2c7c55d5-1efa-4037-a9f5-86e821fe6c09,Implementation Science to End the HIV Epidemic,HHS-NIH11,method,method_07,Qualitative Research,"Research using non-numerical evidence: in-depth interviews, focus groups, participant observation, textual and document analysis, case studies, and interpretive or grounded-theory approaches that seek meaning and context rather than measurement.","Implementation Science to End the HIV Epidemic The National Institute of Allergy and Infectious Diseases (NIAID) seeks to advance its mission by continuing support for implementation science to end the HIV epidemic. Projects will leverage research-community collaborations to bring evidence-based advances in HIV prevention, diagnosis, treatment, and cluster outbreak response to communities disproportionately impacted by HIV. The goals of these projects will be to: (1) Develop strategies to end HIV by integrating innovations across disciplines such as epidemiology, data science, public health, medicine, social services, implementation science, and community engagement, and (2) Deploy, test, and evaluate new or existing strategies at multiple geographic locations or settings.",no
35,2c7c55d5-1efa-4037-a9f5-86e821fe6c09,Implementation Science to End the HIV Epidemic,HHS-NIH11,method,method_09,Community-Based Participatory Research,"Research conducted in equitable partnership with community members and organisations, who share in design, data collection, interpretation, and dissemination. Distinguished by community co-ownership of the research process, not merely recruiting community participants or conducting outreach.","Implementation Science to End the HIV Epidemic The National Institute of Allergy and Infectious Diseases (NIAID) seeks to advance its mission by continuing support for implementation science to end the HIV epidemic. Projects will leverage research-community collaborations to bring evidence-based advances in HIV prevention, diagnosis, treatment, and cluster outbreak response to communities disproportionately impacted by HIV. The goals of these projects will be to: (1) Develop strategies to end HIV by integrating innovations across disciplines such as epidemiology, data science, public health, medicine, social services, implementation science, and community engagement, and (2) Deploy, test, and evaluate new or existing strategies at multiple geographic locations or settings.",yes
36,2c7c55d5-1efa-4037-a9f5-86e821fe6c09,Implementation Science to End the HIV Epidemic,HHS-NIH11,method,method_16,Meta-Analysis,"Research statistically synthesising results across multiple prior studies: systematic review with pooled effect sizes, evidence synthesis, and quantitative aggregation of published findings.","Implementation Science to End the HIV Epidemic The National Institute of Allergy and Infectious Diseases (NIAID) seeks to advance its mission by continuing support for implementation science to end the HIV epidemic. Projects will leverage research-community collaborations to bring evidence-based advances in HIV prevention, diagnosis, treatment, and cluster outbreak response to communities disproportionately impacted by HIV. The goals of these projects will be to: (1) Develop strategies to end HIV by integrating innovations across disciplines such as epidemiology, data science, public health, medicine, social services, implementation science, and community engagement, and (2) Deploy, test, and evaluate new or existing strategies at multiple geographic locations or settings.",no
